"line","trait_value","trait","reference"
100,0.620566245,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
101,0.68347567,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
105,0.021945463,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
109,0.273108942,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
129,0.861560795,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
136,1.291030837,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
138,0.921521296,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
142,1.380780509,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
149,1.002850354,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
153,0.970620273,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
158,1.937146719,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
161,-0.009477861,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
176,-0.647790996,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
177,1.079562979,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
181,1.086267816,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
189,1.323705015,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
195,-0.343688462,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
208,1.306290794,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
217,2.464325768,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
223,0.552243349,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
227,0.847542221,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
228,0.965604251,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
229,1.71264547,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
233,0.683699388,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
235,0.431289079,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
237,0.562471678,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
239,0.990274163,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
256,1.068351398,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
280,0.830865044,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
